,City,Coordinates,Temperature (F),Humidity (%),Cloud (%),Wind Speed (mph)
0,Mongoumba,"(3.16, 18.4)",85.06,68,8,2.15
1,Pocao de Pedras,"(-4.64, -44.85)",70.61,98,36,2.37
2,Northwest Territories,"(69.35, -118.32)",-8.68,84,64,4.94
3,Teknaf,"(20.87, 92.95)",78.26,45,0,2.59
4,Union,"(-35.68, -66.13)",52.61,56,56,17.02
5,Cook,"(-12.42, 143.25)",83.39,98,12,7.63
6,Mityana District,"(0.46, 32.19)",79.56,85,0,3.38
7,Boditi,"(6.96, 37.89)",77.58,25,0,5.61
8,Male,"(3.77, 74.11)",82.18,100,88,13.0
9,Itabuna,"(-14.77, -39.27)",77.27,100,92,1.92
10,Raduzhnyy,"(62.08, 77.38)",-18.32,80,20,6.06
11,Taunggyi,"(20.61, 96.96)",71.19,64,0,4.61
12,Al Khafji,"(28.49, 48.76)",62.42,86,0,18.48
13,Puerto Octay,"(-41.1, -72.65)",35.6,93,0,4.05
14,Lakes State,"(7.35, 29.96)",87.75,33,0,11.1
15,Lucas,"(-16.7, -55.8)",74.35,90,88,2.93
16,Gobolka Mudug,"(7.4, 48.22)",86.22,32,0,14.12
17,Ain el Hadjar,"(34.65, -0.08)",33.8,74,75,2.24
18,Lepsi,"(45.51, 81.05)",24.49,94,92,2.48
19,State of Manipur,"(25.31, 94.14)",71.6,43,20,2.37
20,Lime Acres,"(-28.7, 23.29)",83.21,23,0,10.76
21,Zaouia Sidi Bekri,"(28.13, 0.68)",45.36,43,0,2.71
22,Jalajala,"(14.33, 121.32)",84.2,66,75,13.87
23,Beishanyanchi,"(44.41, 92.84)",13.01,86,32,3.15
24,Rawannawi Village,"(2.49, 173.7)",85.5,98,48,12.21
25,Arijejen,"(-0.31, 165.73)",82.9,100,20,13.56
26,New Stuyahok,"(59.2, -156.63)",5.68,86,1,8.05
27,Aruanã,"(-13.86, -51.2)",70.61,85,12,2.37
28,Blackall,"(-24.22, 145.21)",92.66,37,88,12.1
29,Plains,"(33.47, -103.19)",34.52,82,8,8.52
30,Whitemud Creek,"(55.53, -117.75)",4.06,84,88,5.17
31,Holden,"(53.28, -112.32)",6.66,81,68,3.49
32,Kerema,"(-8.44, 145.27)",82.67,100,0,5.61
33,Humboldt County,"(41.87, -117.21)",22.86,74,92,2.71
34,Şumaymah,"(20.38, 38.56)",78.04,100,0,8.75
35,Baker Lake,"(64.51, -98.38)",-37.67,0,20,2.93
36,Saskatchewan,"(54.31, -106.2)",4.32,75,92,5.73
37,Exmouth,"(-20.9, 114.23)",82.94,89,0,20.49
38,Chara,"(57.29, 120.03)",-11.16,63,20,2.04
39,Okhotsk,"(60.15, 142.45)",-16.2,68,80,2.37
40,Khapalu,"(35.81, 76.67)",-15.03,70,0,1.36
41,Novobiryusinskiy,"(57.39, 99.37)",22.15,62,56,9.08
42,Newberry,"(46.85, -85.22)",10.08,88,90,11.41
43,Etheridge,"(-19.05, 142.4)",99.86,24,92,10.09
44,Berbera,"(11.12, 45.71)",77.05,100,44,3.38
45,Palmas,"(18.65, -91.82)",75.56,94,68,17.47
46,Dolorosa,"(-16.33, -62.53)",71.06,90,44,6.62
47,Al ‘Awājīyah,"(22.13, 40.34)",73.08,28,20,6.96
48,Pyttis,"(60.46, 26.75)",17.6,92,90,4.7
49,Kelyun’ya,"(69.25, -176.45)",-7.56,64,24,15.12
50,Toora-Khem,"(53.27, 96.64)",6.85,77,68,2.93
51,Traill County,"(47.51, -97.17)",5.14,72,90,9.17
52,Deputatskiy,"(68.89, 138.31)",-39.51,0,48,3.38
53,Magnum Mine,"(59.33, -125.88)",-15.62,61,88,2.59
54,Urgal,"(50.86, 132.87)",-19.71,27,0,2.93
55,Whitehall,"(45.67, -112.33)",31.6,71,20,3.15
56,Cabarton,"(44.27, -115.72)",35.06,75,92,5.82
57,Mys-Kamennyy,"(68.34, 75.49)",-22.37,33,32,6.4
58,Fort LaClede (historical),"(41.4, -108.32)",15.98,91,1,2.93
59,Hall Beach,"(68.27, -80.8)",-29.21,73,1,13.87
60,Innamincka,"(-27.34, 139.69)",101.16,21,0,7.07
61,Matamula,"(-17.64, -70.91)",50.05,89,20,2.48
62,Tomatlan,"(19.76, -106.63)",77.36,100,76,4.94
63,Dalain Hob,"(41.91, 102.28)",18.36,51,0,4.16
64,Harboore,"(56.49, 6.57)",42.17,100,100,12.77
65,Envy,"(17.24, -65.46)",77.68,100,68,13.56
66,Susami,"(33.09, 135.22)",48.2,49,75,8.05
67,Karanja,"(20.6, 77.56)",81.1,38,0,4.61
68,Usharal,"(44.43, 77.09)",35.24,98,64,4.5
69,Neskaupstadur,"(65.32, -11.47)",42.71,89,0,23.73
70,Burninskiye Vikhorya,"(57.48, 100.4)",22.5,61,68,9.42
71,Solnechnyy,"(50.55, 137.28)",-11.88,57,0,2.59
72,Foki,"(56.65, 54.59)",10.94,78,80,6.96
